

Hyper-Parameters: 
 - n_estimators..................: 970
 - random_state..................: 2017
 - verbose.......................: 1
 - max_features..................: 0.95
 - learning_rate.................: 0.006
 - max_depth.....................: 2
 - min_samples_leaf..............: 3
      Iter       Train Loss   Remaining Time 
      Iter       Train Loss   Remaining Time 
         1           0.0748            6.28m
         2           0.0672            7.17m
         3           0.0614            7.71m
         4           0.0577            7.91m
         5           0.0527            8.09m
         6           0.0492            8.21m
         7           0.0464            8.30m
         8           0.0443            8.24m
         9           0.0422            8.26m
        10           0.0401            8.32m
        20           0.0277            8.37m
        30           0.0198            8.49m
        40           0.0149            8.45m
        50           0.0115            8.35m
        60           0.0090            8.32m
        70           0.0070            8.30m
        80           0.0055            8.26m
        90           0.0045            8.19m
       100           0.0037            8.13m
       200           0.0006            7.68m
       300           0.0002            6.85m
       400           0.0001            5.46m
       500           0.0001            4.45m
       600           0.0001            3.62m
       700           0.0001            3.03m
       800           0.0001            2.59m
       900           0.0001            2.24m
      1000           0.0001            1.96m
      2000           0.0001           42.68s
      3000           0.0001           17.24s
      4000           0.0001            4.21s
      Iter       Train Loss   Remaining Time 
         1           0.0798            7.15m
         2           0.0700            7.77m
         3           0.0638            8.24m
         4           0.0601            8.08m
         5           0.0571            8.24m
         6           0.0538            8.29m
         7           0.0516            8.19m
         8           0.0476            8.27m
         9           0.0458            8.21m
        10           0.0443            8.27m
        20           0.0290            8.43m
        30           0.0206            8.50m
        40           0.0151            8.48m
        50           0.0111            8.49m
        60           0.0087            8.41m
        70           0.0068            8.37m
        80           0.0055            8.32m
        90           0.0044            8.24m
       100           0.0036            8.19m
       200           0.0005            7.77m
       300           0.0002            6.57m
       400           0.0001            5.32m
       500           0.0001            4.23m
       600           0.0001            3.45m
       700           0.0001            2.88m
       800           0.0001            2.46m
       900           0.0001            2.13m
      1000           0.0001            1.87m
      2000           0.0001           40.67s
      3000           0.0001           16.44s
      4000           0.0001            4.02s
      Iter       Train Loss   Remaining Time 
         1           0.0812            5.90m
         2           0.0708            7.09m
         3           0.0659            7.51m
         4           0.0599            8.11m
         5           0.0560            8.46m
         6           0.0531            8.47m
         7           0.0500            8.69m
         8           0.0476            8.84m
         9           0.0455            8.96m
        10           0.0435            8.93m
        20           0.0279            8.94m
        30           0.0195            9.04m
        40           0.0145            8.87m
        50           0.0111            8.79m
        60           0.0085            8.75m
        70           0.0064            8.68m
        80           0.0050            8.66m
        90           0.0039            8.60m
       100           0.0031            8.55m
       200           0.0004            7.96m
       300           0.0001            6.81m
       400           0.0001            5.11m
       500           0.0001            4.00m
       600           0.0001            3.25m
       700           0.0001            2.72m
       800           0.0001            2.32m
       900           0.0001            2.01m
      1000           0.0001            1.77m
      2000           0.0001           38.46s
      3000           0.0001           15.56s
      4000           0.0001            3.80s
Fold Wise AUPRC  [0.25, 0.16, 0.05, 0.05, 0.51]
AUC -   0.7802 		AUPRC -   0.1538 

      Threshold       Precision          Recall        F1-Score     Skill Score         FP         FN         TP         TN
         0.0170          0.5000          0.1515          0.2326          0.1502          5         28          5       3922
         0.0010          0.1224          0.1818          0.1463          0.1709         43         27          6       3884
         0.2500          0.6667          0.1212          0.2051          0.1207          2         29          4       3925
         0.5000          0.8000          0.1212          0.2105          0.1210          1         29          4       3926
         0.7500          1.0000          0.0606          0.1143          0.0606          0         31          2       3927



Hyper-Parameters: 
 - n_estimators..................: 1540
 - random_state..................: 2017
 - verbose.......................: 1
 - max_features..................: 0.6
 - learning_rate.................: 0.016
 - max_depth.....................: 9
 - min_samples_leaf..............: 14
      Iter       Train Loss   Remaining Time 
         1           0.0877           56.68s
         2           0.0832            1.21m
         3           0.0789            1.36m
         4           0.0759            1.40m
         5           0.0727            1.46m
         6           0.0706            1.47m
         7           0.0680            1.50m
         8           0.0657            1.50m
         9           0.0634            1.50m
        10           0.0617            1.50m
        20           0.0474            1.52m
        30           0.0384            1.53m
        40           0.0325            1.53m
        50           0.0278            1.53m
        60           0.0239            1.53m
        70           0.0207            1.53m
        80           0.0181            1.53m
        90           0.0160            1.52m
       100           0.0142            1.51m
       200           0.0051            1.39m
       300           0.0022            1.27m
       400           0.0010            1.15m
       500           0.0005            1.04m
       600           0.0002           55.17s
       700           0.0001           47.51s
       800           0.0001           38.50s
       900           0.0001           30.14s
      1000           0.0001           22.92s
      Iter       Train Loss   Remaining Time 
         1           0.0912            1.39m
         2           0.0855            1.39m
         3           0.0809            1.42m
         4           0.0773            1.50m
         5           0.0742            1.52m
         6           0.0714            1.51m
         7           0.0686            1.51m
         8           0.0664            1.52m
         9           0.0637            1.55m
        10           0.0623            1.56m
        20           0.0475            1.59m
        30           0.0386            1.59m
        40           0.0325            1.59m
        50           0.0277            1.57m
        60           0.0240            1.56m
        70           0.0208            1.55m
        80           0.0183            1.55m
        90           0.0163            1.53m
       100           0.0144            1.53m
       200           0.0050            1.43m
       300           0.0023            1.28m
       400           0.0010            1.16m
       500           0.0005            1.04m
       600           0.0002           55.29s
       700           0.0001           47.94s
       800           0.0001           39.28s
       900           0.0001           30.47s
      1000           0.0001           23.17s
      Iter       Train Loss   Remaining Time 
         1           0.0876            1.14m
         2           0.0831            1.32m
         3           0.0794            1.42m
         4           0.0761            1.49m
         5           0.0732            1.53m
         6           0.0704            1.53m
         7           0.0682            1.53m
         8           0.0662            1.54m
         9           0.0641            1.55m
        10           0.0621            1.56m
        20           0.0483            1.58m
        30           0.0389            1.61m
        40           0.0328            1.61m
        50           0.0281            1.60m
        60           0.0240            1.60m
        70           0.0212            1.58m
        80           0.0186            1.58m
        90           0.0165            1.57m
       100           0.0146            1.57m
       200           0.0054            1.44m
       300           0.0023            1.31m
       400           0.0011            1.17m
       500           0.0006            1.05m
       600           0.0003           55.57s
       700           0.0002           47.63s
       800           0.0001           38.74s
       900           0.0001           31.13s
      1000           0.0001           24.16s
      Iter       Train Loss   Remaining Time 
         1           0.0921            1.34m
         2           0.0886            1.41m
         3           0.0838            1.46m
         4           0.0811            1.46m
         5           0.0783            1.48m
         6           0.0759            1.48m
         7           0.0736            1.48m
         8           0.0709            1.51m
         9           0.0694            1.50m
        10           0.0670            1.53m
        20           0.0517            1.60m
        30           0.0426            1.60m
        40           0.0361            1.61m
        50           0.0309            1.60m
        60           0.0269            1.59m
        70           0.0239            1.57m
        80           0.0209            1.55m
        90           0.0184            1.54m
       100           0.0164            1.53m
       200           0.0070            1.37m
       300           0.0032            1.25m
       400           0.0015            1.14m
       500           0.0007            1.03m
       600           0.0003           55.09s
       700           0.0002           47.95s
       800           0.0001           39.62s
       900           0.0001           31.66s
